Visit,Discount,Target,Distant,Income,Gender
0,0,0,4.826834689,235,1
1,0,0,4.826834689,235,1
1,38,1,4.826834689,235,1
0,96,1,4.826834689,235,1
0,9,0,4.826834689,235,1
0,0,1,4.826834689,235,1
1,11,0,4.826834689,235,1
1,0,1,4.826834689,235,1
1,54,1,4.826834689,235,1
0,0,0,4.826834689,235,1
0,24,1,4.826834689,235,1
3,0,0,4.826834689,235,1
0,84,1,4.826834689,235,1
0,0,1,4.826834689,235,1
0,61,0,4.826834689,235,1
0,92,0,4.826834689,235,1
0,12,0,4.826834689,235,1
1,58,0,4.826834689,235,1
1,20,0,4.826834689,235,1
0,0,0,4.826834689,235,1
0,3,0,4.826834689,235,1
1,0,1,4.826834689,235,1
1,0,1,4.826834689,235,1
1,51,0,4.826834689,235,1
0,0,1,4.826834689,235,1
2,59,0,4.826834689,235,1
2,75,0,4.826834689,235,1
0,0,1,4.826834689,235,1
1,12,0,4.826834689,235,1
0,17,1,4.826834689,235,1
0,0,0,4.826834689,235,1
1,0,1,4.826834689,235,1
0,40,1,4.826834689,235,1
0,21,1,4.826834689,235,1
1,0,1,4.826834689,235,1
0,0,1,4.826834689,235,1
0,12,0,4.826834689,235,1
2,0,0,4.826834689,235,1
0,79,1,4.826834689,235,1
0,7,1,4.826834689,235,1
1,38,0,4.826834689,235,1
1,58,0,4.826834689,235,1
1,0,1,4.826834689,235,1
0,0,0,4.826834689,235,1
3,0,0,4.826834689,235,1
2,31,1,4.826834689,235,1
0,7,0,4.826834689,235,1
1,1,0,4.826834689,235,1
0,37,1,4.826834689,235,1
0,91,0,4.826834689,235,1
3,0,0,4.043096158,152,0
1,83,0,4.043096158,152,0
0,37,1,4.043096158,152,0
0,99,1,4.043096158,152,0
0,60,0,4.043096158,152,0
0,0,0,4.043096158,152,0
0,49,1,4.043096158,152,0
0,3,1,4.043096158,152,0
1,2,1,4.043096158,152,0
0,0,1,4.043096158,152,0
1,71,1,4.043096158,152,0
1,0,0,4.043096158,152,0
0,33,1,4.043096158,152,0
1,14,1,4.043096158,152,0
0,0,0,4.043096158,152,0
0,0,1,4.043096158,152,0
2,45,1,4.043096158,152,0
1,0,0,4.043096158,152,0
0,89,0,4.043096158,152,0
0,0,0,4.043096158,152,0
1,0,1,4.043096158,152,0
2,26,1,4.043096158,152,0
0,0,1,4.043096158,152,0
