chid,depvar,alt,ic,oc
1,0,ec,859.9,553.34
1,0,er,995.76,505.6
1,1,gc,866,199.69
1,0,gr,962.64,151.72
1,0,hp,1135.5,237.88
2,0,ec,796.82,520.24
2,0,er,894.69,486.49
2,1,gc,727.93,168.66
2,0,gr,758.89,168.66
2,0,hp,968.9,199.19
3,0,ec,719.86,439.06
3,0,er,900.11,404.74
3,1,gc,599.48,165.58
3,0,gr,783.05,137.8
3,0,hp,1048.3,171.47
4,0,ec,761.25,483
4,1,er,831.04,425.22
4,0,gc,835.17,180.88
4,0,gr,793.06,147.14
4,0,hp,1048.7,222.95
5,0,ec,858.86,404.41
5,1,er,985.64,389.52
5,0,gc,755.59,174.91
5,0,gr,846.29,138.9
5,0,hp,883.05,178.49
6,0,ec,693.74,398.22
6,0,er,862.56,371.04
6,1,gc,666.11,135.67
6,0,gr,841.71,140.97
6,0,hp,859.18,209.27
7,0,ec,633.63,478.36
7,0,er,952.3,445.97
7,1,gc,670.1,191.84
7,0,gr,941.25,147.57
7,0,hp,1086.8,236.99
8,0,ec,813.33,502.4
8,0,er,1012.3,464.77
8,1,gc,778.03,187.61
8,0,gr,1022.1,158.66
8,0,hp,990.21,203.78
9,0,ec,875.7,552.98
9,0,er,1024.8,451.76
9,1,gc,928.34,168.7
9,0,gr,1212.4,189.81
9,0,hp,1232.5,269.88
10,0,ec,775.86,532.22
10,0,er,874.49,472.39
10,1,gc,682.88,176.14
10,0,gr,1044.8,136.43
10,0,hp,878.09,217.34
11,0,ec,792.29,428.1
11,0,er,774.69,380.78
11,1,gc,858.26,159.92
11,0,gr,815.69,134.55
11,0,hp,1076,230.16
12,0,ec,944.35,568.33
12,0,er,1325,475.72
12,1,gc,1021.7,214.8
12,0,gr,1007.1,190.79
12,0,hp,1249.6,246
13,0,ec,797.34,406.71
13,0,er,880.8,338.03
13,1,gc,651.83,127.4
13,0,gr,823.59,147.48
13,0,hp,792.92,197.94
14,0,ec,687.18,365.92
14,0,er,718.72,395.14
14,0,gc,568.44,119.45
14,1,gr,617.43,111.86
14,0,hp,775.54,173.53
15,0,ec,594,424.71
15,0,er,736.77,322.95
15,1,gc,602.51,139.54
15,0,gr,815.95,122.44
15,0,hp,934.23,180.51
16,0,ec,801.2,443.16
